index,DPD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,Pred,WVHT
2021-03-06 08:35:00,17.0,13.6,1.0,16.7,1.5,5.3,WSW,WNW,AVERAGE,5.7,1.967142857142857,1.8
2021-03-06 11:22:00,17.0,13.4,1.2,16.7,1.4,9.9,WSW,W,AVERAGE,6.9,-0.2,1.9
2021-03-16 01:47:00,17.0,13.4,1.2,16.7,1.4,9.9,WSW,W,AVERAGE,6.9,3.7033333333333336,1.9
2021-03-06 12:22:00,17.0,13.4,1.2,16.7,1.4,9.9,SW,W,AVERAGE,6.7,1.3028571428571425,1.9
2021-03-06 13:22:00,17.0,13.3,1.3,16.7,1.5,9.9,SW,W,AVERAGE,7.0,0.30285714285714294,1.9
2021-03-06 14:22:00,17.0,13.2,1.2,16.7,1.3,9.9,WSW,W,AVERAGE,7.2,0.6971428571428571,1.8
2021-03-06 15:22:00,12.0,13.2,1.3,11.8,1.3,9.9,W,W,SWELL,7.4,1.697142857142857,1.8
2021-03-06 16:22:00,15.0,13.2,1.2,15.4,1.4,9.9,WSW,W,AVERAGE,7.2,2.697142857142857,1.8
2021-03-06 18:40:00,10.0,13.3,1.1,10.5,1.5,9.9,W,W,AVERAGE,6.6,3.21,1.8
2021-03-06 19:40:00,15.0,13.3,1.2,15.4,1.4,9.9,WSW,W,AVERAGE,6.8,1.6766666666666667,1.9
2021-03-16 02:47:00,15.0,13.4,1.3,15.4,1.5,9.9,W,W,AVERAGE,6.7,2.703333333333333,2.0
2021-03-06 22:16:00,14.0,13.4,1.4,14.3,1.6,5.3,W,W,AVERAGE,6.6,2.81,2.1
2021-03-06 23:16:00,15.0,13.3,1.2,15.4,1.8,5.6,WSW,W,AVERAGE,6.5,1.5633333333333335,2.1
2021-03-07 00:16:00,15.0,13.3,1.2,15.4,1.7,5.9,SW,W,AVERAGE,6.5,2.5633333333333335,2.1
2021-03-07 01:16:00,15.0,13.2,1.1,15.4,1.6,5.9,WSW,W,AVERAGE,6.2,3.5633333333333335,2.0
2021-03-07 02:16:00,15.0,13.9,1.3,15.4,1.7,7.1,WSW,W,AVERAGE,6.6,4.5633333333333335,2.1
2021-03-07 05:45:00,14.0,13.9,1.3,14.3,1.9,7.1,W,W,AVERAGE,6.7,6.321428571428571,2.3
2021-03-07 06:45:00,13.0,13.9,1.3,13.3,1.9,7.7,W,W,AVERAGE,6.8,5.321428571428571,2.2
2021-03-07 07:45:00,15.0,13.8,1.2,15.4,1.7,7.7,WSW,W,AVERAGE,6.9,4.321428571428571,2.1
2021-03-07 08:45:00,13.0,13.8,1.3,13.3,1.5,9.1,W,W,AVERAGE,7.3,3.321428571428571,2.0
2021-03-07 09:45:00,13.0,13.9,1.3,12.5,1.5,8.3,W,W,AVERAGE,7.7,2.321428571428571,2.0
2021-03-17 01:13:00,12.0,13.9,1.4,11.8,1.4,9.9,W,W,SWELL,8.4,4.45,1.9
2021-03-07 12:29:00,13.0,14.0,1.2,12.5,1.5,9.9,W,W,AVERAGE,8.3,-0.51,1.9
2021-03-27 01:22:00,13.0,14.0,1.2,12.5,1.5,9.9,W,W,AVERAGE,8.3,0.4440000000000002,1.9
2021-03-07 13:29:00,14.0,14.1,1.2,14.3,1.6,8.3,WSW,W,AVERAGE,8.1,0.9499999999999997,2.0
2021-03-07 14:29:00,10.0,14.1,1.1,11.8,1.7,9.9,W,W,AVERAGE,8.2,0.050000000000000266,2.0
2021-03-07 15:29:00,12.0,14.1,1.1,11.8,1.5,7.7,W,W,AVERAGE,7.9,1.0500000000000003,1.8
2021-03-07 16:29:00,8.0,14.1,1.0,11.1,1.5,8.3,W,W,AVERAGE,7.8,2.05,1.8
2021-03-07 17:29:00,14.0,14.1,1.3,14.3,1.5,9.1,W,W,AVERAGE,8.3,3.05,2.0
2021-03-07 19:47:00,10.0,14.1,1.1,10.5,1.5,9.9,W,W,AVERAGE,7.8,3.48,1.8
2021-03-07 20:47:00,11.0,14.1,1.1,10.5,1.5,9.1,W,W,AVERAGE,7.6,0.6175000000000002,1.8
2021-03-07 21:47:00,14.0,14.0,1.2,14.3,1.4,9.9,W,W,AVERAGE,8.1,1.6175000000000002,1.8
2021-03-17 02:13:00,14.0,14.0,1.2,14.3,1.4,9.9,W,W,AVERAGE,8.1,3.7499999999999996,1.8
2021-03-07 23:47:00,13.0,14.0,1.1,13.3,1.3,9.9,W,W,AVERAGE,8.1,2.79,1.6
2021-03-08 05:55:00,11.0,14.2,1.0,11.1,1.1,9.9,W,W,AVERAGE,7.7,5.21,1.5
2021-03-08 06:55:00,12.0,14.2,0.8,11.8,1.1,9.9,W,W,AVERAGE,7.0,6.59,1.4
2021-03-08 07:55:00,13.0,14.2,0.8,12.5,1.1,7.7,W,W,AVERAGE,6.5,5.59,1.4
2021-03-08 08:55:00,14.0,14.1,0.9,14.3,1.1,9.9,WSW,W,AVERAGE,6.6,4.59,1.4
2021-03-08 09:55:00,12.0,14.1,0.8,11.8,1.1,9.9,W,W,AVERAGE,6.4,3.59,1.3
2021-03-08 10:55:00,12.0,14.1,0.8,11.8,1.0,9.9,WSW,W,AVERAGE,6.7,2.59,1.3
2021-03-18 01:42:00,13.0,14.0,0.8,13.3,1.1,9.9,WSW,W,AVERAGE,6.2,4.42,1.3
2021-03-28 01:50:00,13.0,14.0,0.9,12.5,1.2,9.9,WSW,W,AVERAGE,6.1,1.1480000000000001,1.5
2021-03-08 13:25:00,13.0,13.9,0.8,12.5,1.4,9.9,WSW,W,AVERAGE,5.4,-0.74,1.6
2021-03-08 14:25:00,13.0,13.8,0.8,13.3,1.4,9.9,WSW,W,AVERAGE,5.6,0.6542857142857139,1.6
2021-03-08 15:25:00,10.0,13.7,0.7,10.5,1.4,9.9,WSW,W,AVERAGE,5.8,0.34571428571428564,1.6
2021-03-08 16:25:00,13.0,13.7,0.7,13.3,1.4,9.9,WSW,W,AVERAGE,5.6,1.3457142857142856,1.5
2021-03-08 17:25:00,11.0,13.7,0.7,11.1,1.4,5.6,W,W,AVERAGE,5.5,2.3457142857142856,1.6
2021-03-08 18:25:00,11.0,13.7,0.7,11.1,1.4,9.9,W,W,AVERAGE,5.5,3.3457142857142856,1.5
2021-03-08 20:31:00,13.0,13.7,0.8,12.5,1.3,5.3,WSW,W,AVERAGE,5.4,3.71,1.5
2021-03-08 21:31:00,13.0,13.7,0.8,12.5,1.3,9.9,W,W,AVERAGE,5.6,0.2599999999999998,1.6
2021-03-18 02:42:00,13.0,13.7,0.8,12.5,1.3,9.9,W,W,AVERAGE,5.6,4.66,1.6
2021-03-08 22:31:00,13.0,13.9,0.9,13.3,1.4,4.8,W,W,AVERAGE,5.6,1.2599999999999998,1.7
2021-03-09 00:57:00,13.0,13.9,1.0,13.3,1.7,5.3,WSW,WNW,AVERAGE,5.5,2.55,1.9
2021-03-09 01:57:00,5.0,13.9,0.9,11.8,1.7,5.3,W,W,VERY_STEEP,5.5,1.7233333333333327,1.9
2021-03-09 02:57:00,13.0,13.9,1.1,13.3,1.6,5.3,W,W,AVERAGE,5.8,2.7233333333333327,1.9
2021-03-09 03:57:00,13.0,13.9,1.0,13.3,1.6,5.3,WSW,W,AVERAGE,5.9,3.7233333333333327,1.9
2021-03-09 04:57:00,13.0,13.9,1.0,13.3,1.7,5.3,WSW,WNW,AVERAGE,5.6,4.723333333333333,2.0
2021-03-09 06:57:00,5.0,13.9,0.9,11.8,1.7,4.8,WSW,WNW,VERY_STEEP,5.6,5.27,2.0
2021-03-09 07:57:00,10.0,13.9,1.0,11.8,1.6,9.9,W,W,AVERAGE,5.9,6.712857142857143,1.9
2021-03-09 08:57:00,13.0,13.8,0.9,13.3,1.4,5.0,WSW,WNW,AVERAGE,5.9,5.712857142857143,1.7
2021-03-09 09:57:00,11.0,13.8,0.9,10.5,1.5,5.0,W,WNW,AVERAGE,5.9,4.712857142857143,1.7
2021-03-09 10:57:00,13.0,13.7,1.0,13.3,1.4,5.0,W,W,AVERAGE,6.0,3.7128571428571426,1.7
2021-03-09 11:57:00,13.0,13.6,0.9,12.5,1.3,9.9,W,W,AVERAGE,5.9,2.7128571428571426,1.6
2021-03-29 01:20:00,13.0,13.6,1.0,13.3,1.3,9.1,W,W,AVERAGE,6.3,3.6333333333333333,1.6
2021-03-09 14:13:00,11.0,13.7,1.0,11.1,1.5,9.1,W,W,AVERAGE,6.0,-0.84,1.8
2021-03-09 15:13:00,12.0,13.7,1.0,11.8,1.6,5.0,W,WNW,AVERAGE,5.8,0.6783333333333337,1.9
2021-03-09 16:13:00,5.0,13.9,0.8,13.3,1.6,5.0,W,WNW,VERY_STEEP,5.7,1.6783333333333337,1.8
2021-03-09 17:13:00,11.0,14.1,1.0,10.5,1.6,5.0,W,WNW,AVERAGE,5.7,2.6783333333333337,1.9
2021-03-17 19:18:00,11.0,13.5,0.5,11.1,0.8,9.9,W,WNW,AVERAGE,7.0,1.85,1.0
2021-03-17 20:18:00,14.0,13.6,0.5,14.3,0.7,9.9,SSW,W,AVERAGE,7.3,0.8483333333333332,0.9
2021-03-17 21:18:00,15.0,13.8,0.4,15.4,0.7,9.9,SSW,W,AVERAGE,7.0,1.8483333333333332,0.8
2021-03-17 22:18:00,15.0,13.3,0.6,15.4,0.7,7.7,SSW,W,AVERAGE,7.3,2.848333333333333,0.9
2021-03-17 23:18:00,14.0,13.1,0.5,14.3,0.7,7.7,S,W,AVERAGE,7.0,3.848333333333333,0.8
2021-03-18 03:42:00,9.0,13.4,0.4,10.5,0.8,9.1,W,WNW,AVERAGE,5.8,3.6599999999999997,0.9
2021-03-18 04:42:00,14.0,13.3,0.5,14.3,0.8,9.9,SSW,W,AVERAGE,5.5,2.6599999999999997,0.9
2021-03-18 05:42:00,14.0,13.4,0.5,14.3,0.8,9.9,S,W,AVERAGE,4.9,1.6599999999999997,0.9
2021-03-18 06:42:00,14.0,13.2,0.4,14.3,0.8,9.9,SSW,WNW,AVERAGE,5.4,0.66,0.9
2021-03-18 08:44:00,10.0,13.1,0.4,10.5,0.8,9.9,W,W,AVERAGE,5.6,0.85,0.9
2021-03-18 09:44:00,10.0,13.1,0.5,14.3,0.8,9.9,S,WNW,AVERAGE,5.9,0.6416666666666666,0.9
2021-03-18 10:44:00,9.0,13.1,0.4,14.3,0.8,9.1,SSW,W,AVERAGE,5.6,0.3583333333333334,0.9
2021-03-18 11:44:00,14.0,13.1,0.4,14.3,0.7,9.9,S,W,AVERAGE,5.5,1.3583333333333334,0.8
2021-03-18 12:44:00,13.0,13.0,0.4,13.3,0.7,9.1,SW,W,AVERAGE,5.2,2.3583333333333334,0.8
2021-03-18 23:44:00,14.0,13.4,0.4,14.3,0.7,3.9,SSW,W,AVERAGE,4.6,3.706666666666667,0.8
2021-03-09 21:06:00,14.0,13.4,0.4,14.3,0.7,4.0,SSW,W,AVERAGE,4.5,3.89,0.8
2021-03-19 02:16:00,14.0,13.4,0.4,14.3,0.7,4.0,SSW,W,AVERAGE,4.5,4.36,0.8
2021-03-19 07:16:00,13.0,13.3,0.5,13.3,0.7,3.5,SSW,W,AVERAGE,4.7,0.6742857142857145,0.8
2021-03-19 10:48:00,13.0,13.3,0.5,13.3,0.7,8.3,S,W,AVERAGE,5.5,1.8842857142857143,0.8
2021-03-19 11:48:00,13.0,13.4,0.5,13.3,0.8,8.3,SSW,W,AVERAGE,5.1,0.8842857142857143,0.9
2021-03-19 12:48:00,13.0,13.4,0.5,13.3,0.9,8.3,SW,W,AVERAGE,5.5,0.11571428571428566,1.0
2021-03-19 13:48:00,13.0,13.4,0.5,12.5,0.9,7.1,SSW,W,AVERAGE,5.4,1.1157142857142857,1.0
2021-03-19 14:48:00,13.0,13.5,0.5,13.3,0.9,8.3,SW,WSW,AVERAGE,5.4,2.1157142857142857,1.0
2021-03-19 17:01:00,13.0,13.5,0.5,13.3,0.8,7.1,SSW,WSW,AVERAGE,5.9,2.83,0.9
2021-03-19 18:01:00,13.0,13.5,0.5,13.3,0.8,7.7,WSW,WSW,AVERAGE,6.5,1.5899999999999999,0.9
2021-03-19 20:13:00,13.0,13.4,0.7,13.3,0.8,8.3,WSW,W,AVERAGE,6.5,2.65,1.1
2021-03-19 21:13:00,13.0,13.3,0.6,12.5,0.9,7.7,WSW,WSW,AVERAGE,6.3,0.5516666666666667,1.1
2021-03-19 22:13:00,13.0,13.3,0.7,13.3,0.9,7.7,W,WSW,AVERAGE,6.8,1.5516666666666667,1.1
2021-03-19 23:13:00,13.0,13.3,0.9,13.3,0.9,7.7,W,WSW,SWELL,7.0,2.5516666666666667,1.3
2021-03-20 00:13:00,13.0,13.4,0.9,13.3,1.0,7.7,W,W,AVERAGE,6.7,3.5516666666666667,1.3
2021-03-20 03:01:00,13.0,13.8,1.2,13.3,0.9,9.9,W,W,SWELL,8.1,4.28,1.5
2021-03-20 04:01:00,15.0,13.8,1.4,15.4,0.9,9.9,W,W,SWELL,8.4,5.7250000000000005,1.6
2021-03-20 05:01:00,14.0,13.8,1.4,14.3,0.9,9.9,W,W,SWELL,8.5,4.7250000000000005,1.7
2021-03-20 06:01:00,15.0,13.7,1.6,15.4,1.0,9.9,W,W,SWELL,9.4,3.7250000000000005,1.9
2021-03-20 07:01:00,13.0,13.6,1.6,12.5,1.0,9.9,W,W,SWELL,9.0,2.7250000000000005,1.9
2021-03-20 08:01:00,14.0,13.5,1.3,14.3,1.2,9.9,W,W,SWELL,6.9,1.7250000000000003,1.8
2021-03-20 09:01:00,14.0,13.4,1.5,14.3,1.2,9.9,W,W,SWELL,7.6,0.7250000000000001,1.9
2021-03-20 11:03:00,13.0,13.1,1.5,13.3,1.3,9.9,W,W,SWELL,7.3,0.72,2.0
2021-03-20 12:03:00,14.0,13.0,1.4,14.3,1.5,9.1,W,W,AVERAGE,6.9,9.550625,2.1
2021-03-20 13:03:00,13.0,12.9,1.6,13.3,1.6,9.9,W,W,SWELL,7.2,8.550625,2.3
2021-03-20 14:03:00,14.0,12.9,1.4,14.3,1.6,9.9,W,W,AVERAGE,6.6,7.550625,2.1
2021-03-20 15:03:00,14.0,12.9,1.6,14.3,1.6,5.3,W,WNW,SWELL,7.0,6.550625,2.2
2021-03-20 16:03:00,13.0,12.9,1.5,12.5,1.8,9.9,W,W,AVERAGE,6.8,5.550625,2.3
2021-03-20 17:03:00,14.0,12.8,1.3,14.3,1.7,9.9,W,W,AVERAGE,6.6,4.550625,2.1
2021-03-20 18:03:00,11.0,12.8,1.3,11.1,1.6,9.9,WNW,WNW,AVERAGE,6.4,3.5506249999999993,2.0
2021-03-20 19:03:00,13.0,12.7,1.0,13.3,1.8,9.9,W,WNW,AVERAGE,6.0,2.5506249999999993,2.0
2021-03-20 20:03:00,13.0,12.7,1.3,13.3,1.7,9.9,W,W,AVERAGE,6.7,1.5506249999999993,2.1
2021-03-20 21:03:00,13.0,12.7,1.2,13.3,1.6,9.9,W,W,AVERAGE,6.6,0.5506249999999993,2.0
2021-03-20 22:03:00,13.0,12.7,1.3,12.5,1.7,9.9,W,WNW,AVERAGE,6.5,0.4493750000000003,2.1
2021-03-20 23:03:00,13.0,12.8,1.1,13.3,1.8,5.6,W,WNW,AVERAGE,6.2,1.4493750000000003,2.1
2021-03-21 00:03:00,13.0,12.8,1.0,13.3,1.9,5.6,W,WNW,AVERAGE,5.8,2.4493750000000007,2.1
2021-03-01 12:27:00,6.0,12.8,1.1,13.3,2.3,6.2,W,WNW,VERY_STEEP,6.0,4.686666666666667,2.5
2021-03-21 01:03:00,6.0,12.8,1.1,13.3,2.3,6.2,W,WNW,VERY_STEEP,6.0,3.4493750000000007,2.5
2021-03-21 04:02:00,7.0,12.8,0.9,11.8,2.3,6.7,W,WNW,VERY_STEEP,5.9,4.23,2.5
2021-03-21 05:02:00,6.0,12.8,0.9,11.8,1.9,6.2,W,WNW,VERY_STEEP,5.7,5.9775,2.1
2021-03-21 06:02:00,6.0,12.8,0.9,12.5,2.0,5.9,W,WNW,VERY_STEEP,5.8,4.9775,2.2
2021-03-21 07:02:00,6.0,12.8,0.8,11.8,1.9,5.6,W,WNW,VERY_STEEP,5.8,3.9775,2.1
2021-03-21 08:02:00,13.0,12.7,0.8,12.5,1.7,5.9,W,W,AVERAGE,5.9,2.9775,1.9
2021-03-21 09:02:00,13.0,12.7,0.8,12.5,1.8,5.9,W,WNW,AVERAGE,5.8,1.9775000000000003,1.9
2021-03-21 10:02:00,13.0,12.8,0.9,12.5,1.7,5.9,W,W,AVERAGE,6.0,0.9775,1.9
2021-03-21 12:15:00,12.0,12.8,0.8,11.8,1.7,9.1,W,W,AVERAGE,6.3,0.49,1.8
2021-03-21 13:15:00,11.0,12.8,0.7,11.1,1.6,9.9,W,WNW,AVERAGE,6.2,2.54,1.7
2021-03-21 14:15:00,9.0,12.8,0.8,10.5,1.6,9.1,W,W,AVERAGE,6.5,1.54,1.8
2021-03-21 15:15:00,12.0,12.9,0.8,11.8,1.6,8.3,W,WNW,AVERAGE,6.1,0.54,1.8
2021-03-21 16:15:00,13.0,13.0,0.8,12.5,1.5,9.1,W,W,AVERAGE,6.1,0.45999999999999996,1.7
2021-03-21 17:15:00,11.0,13.0,0.8,11.1,1.5,8.3,W,W,AVERAGE,6.2,1.46,1.7
2021-03-21 18:15:00,12.0,13.0,0.8,11.8,1.6,7.7,W,W,AVERAGE,5.8,2.46,1.7
2021-03-21 20:19:00,12.0,13.0,0.7,11.8,1.7,8.3,W,WNW,AVERAGE,5.7,3.13,1.8
2021-03-21 22:59:00,6.0,12.9,0.7,11.8,1.9,5.6,W,WNW,VERY_STEEP,5.4,3.06,2.0
2021-03-21 23:59:00,7.0,12.9,0.6,11.8,1.9,6.7,W,WNW,STEEP,5.6,0.47166666666666623,2.0
2021-03-22 00:59:00,5.0,12.9,0.7,12.5,2.0,5.3,W,WNW,VERY_STEEP,5.6,1.4716666666666662,2.1
2021-03-02 12:25:00,6.0,12.9,0.7,11.8,2.1,6.2,W,WNW,VERY_STEEP,5.8,4.26,2.2
2021-03-22 01:59:00,6.0,12.9,0.7,11.8,2.1,6.2,W,WNW,VERY_STEEP,5.8,2.4716666666666662,2.2
2021-03-02 22:24:00,6.0,12.9,0.7,10.5,2.0,5.6,W,WNW,VERY_STEEP,5.7,4.738333333333333,2.1
2021-03-22 02:59:00,6.0,12.9,0.7,10.5,2.0,5.6,W,WNW,VERY_STEEP,5.7,3.4716666666666662,2.1
2021-03-22 05:13:00,9.0,13.0,0.7,10.5,2.0,9.1,W,W,AVERAGE,5.9,4.27,2.1
2021-03-22 06:13:00,9.0,13.1,0.7,11.8,1.8,9.1,W,W,AVERAGE,5.7,6.319999999999999,1.9
2021-03-22 07:13:00,11.0,13.2,0.7,10.5,1.8,9.1,W,W,AVERAGE,5.9,5.319999999999999,1.9
2021-03-22 08:13:00,11.0,13.4,0.9,10.5,1.8,7.7,W,W,AVERAGE,6.1,4.319999999999999,2.0
2021-03-22 09:13:00,10.0,13.4,0.7,11.1,1.8,9.9,W,W,AVERAGE,6.0,3.32,1.9
2021-03-22 10:13:00,11.0,13.4,0.7,10.5,1.8,8.3,W,W,AVERAGE,5.9,2.32,1.9
2021-03-22 11:13:00,9.0,13.3,0.6,11.8,1.8,9.1,W,W,AVERAGE,6.0,1.3199999999999998,1.9
2021-03-22 13:13:00,10.0,13.2,0.7,10.5,1.9,9.9,WNW,WNW,AVERAGE,5.9,0.19,2.0
2021-03-22 14:13:00,8.0,13.1,0.7,11.1,1.9,7.7,W,WNW,STEEP,5.8,1.2442857142857142,2.0
2021-03-22 15:13:00,10.0,13.1,0.8,10.5,1.9,9.9,W,WNW,AVERAGE,5.9,0.24428571428571422,2.0
2021-03-22 16:13:00,9.0,13.1,0.7,11.1,1.9,9.1,W,W,AVERAGE,5.8,0.7557142857142858,2.0
2021-03-22 17:13:00,6.0,13.1,0.6,10.5,1.9,6.2,W,WNW,VERY_STEEP,5.6,1.7557142857142858,1.9
2021-03-22 18:13:00,17.0,13.2,0.6,16.7,1.7,9.1,SSW,W,AVERAGE,5.6,2.755714285714286,1.8
2021-03-22 20:49:00,17.0,13.3,0.6,16.7,1.8,5.6,SSW,WNW,AVERAGE,5.5,3.31,1.9
2021-03-22 21:49:00,6.0,13.3,0.7,16.7,1.9,6.2,SSW,WNW,VERY_STEEP,5.5,1.8033333333333335,2.0
2021-03-23 00:29:00,6.0,13.2,0.7,16.7,2.2,6.2,SW,WNW,VERY_STEEP,5.7,2.93,2.3
2021-03-23 01:29:00,8.0,13.1,0.6,16.7,1.9,7.7,SSW,W,STEEP,5.6,1.7299999999999995,2.0
2021-03-03 22:02:00,6.0,13.1,0.6,16.7,2.2,5.6,SW,WNW,VERY_STEEP,5.5,3.768333333333333,2.2
2021-03-23 02:29:00,6.0,13.1,0.6,16.7,2.2,5.6,SW,WNW,VERY_STEEP,5.5,2.7299999999999995,2.2
2021-03-23 03:29:00,7.0,13.1,0.6,10.5,2.6,6.7,W,WNW,VERY_STEEP,5.9,3.7299999999999995,2.6
2021-03-23 06:22:00,7.0,12.9,0.6,16.7,2.7,6.7,SSW,WNW,VERY_STEEP,5.9,4.43,2.7
2021-03-23 07:22:00,7.0,12.8,0.7,15.4,2.5,7.1,SSW,W,VERY_STEEP,5.9,5.7700000000000005,2.6
2021-03-23 08:22:00,7.0,12.6,0.6,10.5,2.6,6.7,W,WNW,VERY_STEEP,5.9,4.7700000000000005,2.7
2021-03-23 09:22:00,7.0,12.5,0.6,10.5,2.6,6.7,W,W,VERY_STEEP,5.9,3.77,2.7
2021-03-23 10:22:00,7.0,12.6,0.6,10.5,2.5,6.7,W,WNW,VERY_STEEP,5.9,2.77,2.5
2021-03-23 11:22:00,7.0,12.7,0.6,10.5,2.6,6.7,W,WNW,VERY_STEEP,6.0,1.77,2.6
2021-03-23 14:00:00,9.0,12.6,0.6,10.5,2.5,9.1,W,WNW,AVERAGE,5.9,-0.12,2.6
2021-03-23 15:00:00,6.0,12.7,0.5,15.4,2.5,6.2,SW,WNW,VERY_STEEP,5.8,0.9942857142857138,2.5
2021-03-23 16:00:00,6.0,12.7,0.6,15.4,2.4,6.2,WSW,WNW,VERY_STEEP,5.7,0.005714285714286227,2.4
2021-03-23 17:00:00,6.0,12.8,0.6,15.4,2.2,6.2,SSW,WNW,VERY_STEEP,5.8,1.0057142857142862,2.3
2021-03-23 18:00:00,6.0,12.8,0.5,10.5,2.1,5.9,W,WNW,VERY_STEEP,5.7,2.0057142857142862,2.2
2021-03-23 19:00:00,6.0,12.8,0.6,15.4,2.0,6.2,SSW,W,VERY_STEEP,5.7,3.0057142857142862,2.0
2021-03-23 21:12:00,6.0,12.8,0.6,15.4,1.9,5.9,SSW,WNW,VERY_STEEP,5.6,3.49,1.9
2021-03-23 22:12:00,7.0,12.8,0.6,15.4,1.9,6.7,SSW,W,STEEP,5.5,0.40249999999999986,2.0
2021-03-23 23:12:00,6.0,12.8,0.6,14.3,1.9,5.6,SW,WNW,VERY_STEEP,5.3,1.4025,1.9
2021-03-04 12:41:00,6.0,12.8,0.6,15.4,2.0,6.2,S,W,VERY_STEEP,5.3,2.673333333333334,2.0
2021-03-24 01:30:00,6.0,12.8,0.6,15.4,2.0,6.2,S,W,VERY_STEEP,5.3,2.62,2.0
2021-03-04 22:46:00,5.0,12.7,0.6,10.5,1.8,5.0,W,WNW,VERY_STEEP,5.2,3.6983333333333333,1.8
2021-03-24 02:30:00,5.0,12.7,0.6,10.5,1.8,5.0,W,WNW,VERY_STEEP,5.2,2.068,1.8
2021-03-24 03:30:00,7.0,12.7,0.6,10.5,1.4,7.1,W,W,STEEP,5.4,3.068,1.5
2021-03-24 04:30:00,10.0,12.6,0.6,10.5,1.4,9.9,W,W,AVERAGE,6.0,4.0680000000000005,1.6
2021-03-24 08:22:00,11.0,12.6,0.7,10.5,1.3,9.1,WNW,WNW,AVERAGE,6.5,6.1,1.4
2021-03-24 09:22:00,10.0,12.6,0.8,14.3,1.2,9.9,SSW,WNW,AVERAGE,7.0,5.1,1.4
2021-03-24 10:22:00,11.0,12.6,0.7,10.5,1.2,7.7,WNW,W,AVERAGE,6.9,4.1,1.4
2021-03-24 11:22:00,11.0,12.6,0.8,10.5,1.2,9.9,WNW,WNW,AVERAGE,7.3,3.0999999999999996,1.4
2021-03-24 12:22:00,10.0,12.7,0.7,11.8,1.1,9.9,W,W,AVERAGE,7.0,2.1,1.3
